,Symbol,Address,Default,Description,,Bit 7,Bit 6,Bit 5,Bit 4,Bit 3,Bit 2,Bit 1,Bit 0
8,P0,80,11111111,Port 0,,P0.7,P0.6,P0.5,P0.4,P0.3,P0.2,P0.1,P0.0
8,SP,81,00000111,Stack Pointer,,,,,,,,,
8,DPL,82,00000000,Data Pointer (DPTR) low,,,,,,,,,
8,DPH,83,00000000,Data Pointer (DPTR) high,,,,,,,,,
8,DPXL,84,00000000,Data pointer (highest byte),,,,,,,,,
8,USBCLK,85,00100000,USB clock control register,,ENCKM,PCKI1,PCKI0,CRE,TST_USB,TST_PHY,PHYTST1,PHYTST0
8,DPS,86,00000xx0,DPTR pointer selector,,ID1,ID0,TSL,AU1,AU0,-,-,DPSEL
8,PCON,87,00110000,Power control register,,SMOD,SMOD0,LVDF,POF,GF1,GF0,PD,IDL
8,TCON,88,00000000,Timer control register,,TF1,TR1,TF0,TR0,IE1,IT1,IE0,IT0
8,TMOD,89,00000000,Timer mode register,,T1_GATE,T1_C/T,T1_M1,T1_M0,T0_GATE,T0_C/T,T0_M1,T0_M0
8,TL0,8A,00000000,Timer 0 low byte,,,,,,,,,
8,TL1,8B,00000000,Timer 1 low byte,,,,,,,,,
8,TH0,8C,00000000,Timer 0 high byte,,,,,,,,,
8,TH1,8D,00000000,Timer 1 high byte,,,,,,,,,
8,CKCON,8E,00000000,XRAM control register,,-,-,-,T1M,T0M,CKCON2,CKCON1,CKCON0
8,DMAIR,8F,00000000,FMU DMA instruction register,,,,,,,,,
8,P1,90,11111111,Port 1,,P1.7,P1.6,P1.5,P1.4,P1.3,P1.2,P1.1,P1.0
8,USBCON,91,00000000,USB control register,,ENUSB,USBRST,PS2M,PUEN,PDEN,DFREC,DP,DM
8,WTST,92,00000111,Program read control register,,,,,,,,,
8,AUXR1,93,00000001,Auxiliary register 1,,T0x12,T1x12,UART_M0x6,T2R,T2_C/T,T2x12,EXTRAM,SIST2
8,AUXR2,94,00000000,Auxiliary register 2,,-,P40ADR,ADIBF,TXLNRX,-,-,CANEN,LINEN
8,INTCLKO,95,x000x000,,,-,EX4,EX3,EX2,-,T2CLKO,T1CLKO,T0CLKO
8,USBADR,96,00000000,USB address register,,BUSY,AUTORD,UADR5,UADR4,UADR3,UADR2,UADR1,UADR0
8,USBDAT,97,00000000,USB data register,,,,,,,,,
8,SCON,98,00000000,Serial port 1 control register,,SM0/FE,SM1,SM2,REN,TB8,RB8,TI,RI
8,SBUF,99,00000000,Serial port 1 buffer register,,,,,,,,,
8,P_SW1,9A,nn00000x,Peripheral port switching register 1,,S1_S1,S1_S0,CAN_S1,CAN_S0,SPI_S1,SPI_S0,LIN_S1,LIN_S0
8,P_SW2,9B,0x000000,Peripheral port switching register 2,,EAXFR,-,I2C_S1,I2C_S0,CMPO_S,S4_S,S3_S,S2_S
,,9C,,,,,,,,,,,
,,9D,,,,,,,,,,,
8,LIRTRIM,9E,000000nn,IRC frequency trim register,,-,-,-,-,-,-,LIRTRIM1,LIRTRIM0
8,IRTRIM,9F,nnnnnnnn,IRC frequency adjustment register,,,,,,,,,
8,P2,A0,11111111,Port 2,,P2.7,P2.6,P2.5,P2.4,P2.3,P2.2,P2.1,P2.0
8,CANICR,A1,00000000,CANBUS interrupt control register,,-,-,-,-,PCANH,CANIF,ECAN,PCANL
8,CANAR,A2,00000000,CANBUS address register,,,,,,,,,
8,CANDR,A3,00000000,CANBUS data register,,,,,,,,,
,,A4,,,,,,,,,,,
,,A5,,,,,,,,,,,
,,A6,,,,,,,,,,,
,,A7,,,,,,,,,,,
8,IE,A8,00000000,Interrupt enable register,,EA,ELVD,EADC,ES,ET1,EX1,ET0,EX0
8,IRCBAND,A9,xxxxxxxn,IRC band selection detection,,-,-,-,-,-,-,-,BANDSEL
8,WKTCL,AA,11111111,Power-down wake-up timer low byte,,,,,,,,,
8,WKTCH,AB,01111111,Power-down wake-up timer high byte,,WKTEN,,,,,,,
,,AC,,,,,,,,,,,
,,AD,,,,,,,,,,,
,,AE,,,,,,,,,,,
,,AF,,,,,,,,,,,
8,P3,B0,11111111,Port 3,,P3.7,P3.6,P3.5,P3.4,P3.3,P3.2,P3.1,P3.0
8,LINICR,B1,00000000,LINBUS interrupt control register,,-,-,-,-,PLINH,LINIF,ELIN,PLINL
8,LINAR,B2,00000000,LINBUS address register,,,,,,,,,
8,LINDR,B3,00000000,LINBUS data register,,,,,,,,,
8,CMPCR1,B4,00000000,Comparator control register 1,,CMPEN,CMPIF,PIE,NIE,PIS,NIS,CMPOE,CMPRES
8,CMPCR2,B5,00000000,Comparator control register 2,,INVCMPO,DISFLT,LCDTY5,LCDTY4,LCDTY3,LCDTY2,LCDTY1,LCDTY0
8,IP2H,B6,00000000,Interrupt priority control register 2 high,,-,PI2CH,PCMPH,PX4H,PPWMB,PUSBH,PSPIH,PS2H
8,IPH,B7,x0000000,Interrupt priority control register high,,PPWMAH,PLVDH,PADCH,PSH,PT1H,PX1H,PT0H,PX0H
8,IP,B8,x0000000,Interrupt priority control register low,,PPWMA,PLVD,PADC,PS,PT1,PX1,PT0,PX0
8,SPSTAT,B9,00xxxxxx,SPI status register,,SPIF,WCOL,-,-,-,-,-,-
8,SPCTL,BA,00000100,SPI control register,,SSIG,SPEN,DORD,MSTR,CPOL,CPHA,SPR1,SPR0
8,SPDAT,BB,00000000,SPI data register,,,,,,,,,
8,S4CON,BC,00000000,Serial port 4 control register,,S4SM0,S4ST4,S4SM2,S4REN,S4TB8,S4RB8,S4TI,S4RI
8,S4BUF,BD,00000000,Serial port 4 buffer register,,,,,,,,,
8,SPH,BE,00000000,Stack pointer high byte,,,,,,,,,
8,BUS_SPEED,BF,00xxx000,Bus speed control register,,RW_S1,RW_S0,-,-,-,SPEED2,SPEED1,SPEED0
8,P4,C0,11111111,Port 4,,P4.7,P4.6,P4.5,P4.4,P4.3,P4.2,P4.1,P4.0
8,,C1,,,,,,,,,,,
8,IAP_DATA,C2,11111111,IAP data register,,,,,,,,,
8,IAP_ADDRH,C3,00000000,IAP address register high,,,,,,,,,
8,IAP_ADDRL,C4,00000000,IAP address register low,,,,,,,,,
8,IAP_CMD,C5,xxxxxx00,IAP command register,,-,-,-,-,-,-,CMD1,CMD0
8,IAP_TRIG,C6,00000000,IAP trigger register,,,,,,,,,
8,IAP_CONTR,C7,0000xxxx,IAP control register,,IAPEN,SWBS,SWRST,CMD_FAIL,-,-,-,-
8,P5,C8,xxx11111,Port 5,,-,-,-,P5.4,P5.3,P5.2,P5.1,P5.0
8,T4H,C9,00000000,Timer 4 high byte,,,,,,,,,
8,T4L,CA,00000000,Timer 4 low byte,,,,,,,,,
8,T3H,CB,00000000,Timer 3 high byte,,,,,,,,,
8,T3L,CC,00000000,Timer 3 low byte,,,,,,,,,
8,T2H,CD,00000000,Timer 2 high byte,,,,,,,,,
8,T2L,CE,00000000,Timer 2 low byte,,,,,,,,,
,,CF,,,,,,,,,,,
8,PSW,D0,000000x0,Program status word register,,CY,AC,F0,RS1,RS0,OV,-,P
8,PSW1,D1,0000000x,Program status word 1 register,,CY,AC,N,RS1,RS0,OV,Z,-
8,P7M1,D2,11111111,P7 port configuration register 1,,,,,,,,,
8,P7M0,D3,00000000,P7 port configuration register 0,,,,,,,,,
,,D4,,,,,,,,,,,
,,D5,,,,,,,,,,,
,,D6,,,,,,,,,,,
,,D7,,,,,,,,,,,
,,D8,,,,,,,,,,,
,,D9,,,,,,,,,,,
8,AUXINTF,DA,x000x000,Extended external interrupt flag register,,-,INT4IF,INT3IF,INT2IF,-,T4IF,T3IF,T2IF
8,T4T3M,DB,00000000,Timer 4/3 control register,,T4R,T4_C/T,T4x12,T4CLKO,T3R,T3_C/T,T3x12,T3CLKO
8,ADC_CONTR,DC,000x0000,ADC control register,,ADC_POWER,ADC_START,ADC_FLAG,-,ADC_CHS3,ADC_CHS2,ADC_CHS1,ADC_CHS0
8,ADC_RES,DD,00000000,ADC conversion result register high,,,,,,,,,
8,ADC_RESL,DE,00000000,ADC conversion result register low,,,,,,,,,
8,ADCCFG,DF,xx0x0000,ADC configuration register,,-,-,RESFMT,-,ADC_SPEED3,ADC_SPEED2,ADC_SPEED1,ADC_SPEED0
8,ACC,E0,00000000,Accumulator,,,,,,,,,
8,SADDR,E1,00000000,Serial port 1 slave address register,,,,,,,,,
8,SADEN,E2,00000000,Serial port 1 slave address mask register,,,,,,,,,
